https://presse.dfb.de/pr-start/, Apache, Start :: Presse :: Der DFB :: DFB - Deutscher Fußball-Bund e.V., TYPO3 CMS
https://presse.dfb.de/pr-start/, Apache, Start :: Presse :: Der DFB :: DFB - Deutscher Fußball-Bund e.V., TYPO3 CMS
http://fanshop.dfb.de:80/, AkamaiGHost, Invalid URL
https://www.dfb.de/index/, Apache, DFB - Deutscher Fußball-Bund e.V., TYPO3 CMS
http://toolbox-doku.dfb.de:80/, Apache, DFB Toolbox
https://toolbox-doku.dfb.de:443/, Apache, DFB Toolbox
https://tickets.dfb.de/, nginx, Ticketshop
https://tickets.dfb.de:443/, nginx, Ticketshop
https://www.dfb.de/index/, Apache, DFB - Deutscher Fußball-Bund e.V., TYPO3 CMS
https://services.dfb.de/de/users/sign_in, None, mein.DFB
https://services.dfb.de/de/users/sign_in, None, mein.DFB
https://www.dfb.de/mein-fussball/, Apache, Training & Service :: DFB - Deutscher Fußball-Bund e.V., TYPO3 CMS
https://datencenter-tua.dfb.de/datencenter?action=dashboard&controller=datacenter, None, DFB Datencenter
https://tickets.dfb.de/, nginx, Ticketshop
https://tickets.dfb.de/, nginx, Ticketshop
https://steuerhandbuch.dfb.de:443/, None, Willkommen im DFB Steuerhandbuch - dfb
https://datencenter-tua.dfb.de/datencenter?action=dashboard&controller=datacenter, None, DFB Datencenter
https://akkreditierungsportal.dfb.de/akk/de/index.html, Apache/2.4.6 (CentOS) mod_cluster/1.3.10.Final mod_jk/1.2.46, 
https://www.dfb.de/die-mannschaft/start/, Apache, Start :: Die Mannschaft :: Männer-Nationalmannschaften :: Mannschaften :: DFB - Deutscher Fußball-Bund e.V., TYPO3 CMS
https://www.dfb.de/die-mannschaft/start/, Apache, Start :: Die Mannschaft :: Männer-Nationalmannschaften :: Mannschaften :: DFB - Deutscher Fußball-Bund e.V., TYPO3 CMS
https://assets03-kampagne.dfb.de:443/, Apache, DFB | Ehrenrunde. Gänsehaut pur. Zugabe!
https://spieler.dfb.de:443/, None, Junioren- und Männermannschaften - DFB.de
https://assets03-kampagne.dfb.de/, Apache, DFB | Ehrenrunde. Gänsehaut pur. Zugabe!
https://akkreditierungsportal.dfb.de/akk/de/index.html, Apache/2.4.6 (CentOS) mod_cluster/1.3.10.Final mod_jk/1.2.46, 
https://spieler.dfb.de/, None, Junioren- und Männermannschaften - DFB.de
https://www.dfb.de/hospitality/start/, Apache, Start :: Hospitality :: Shops :: Erlebniswelt :: DFB - Deutscher Fußball-Bund e.V., TYPO3 CMS
https://login.microsoftonline.com/80fab529-91da-4991-a55b-b8195f9a5bfa/oauth2/authorize?response_type=code+id_token&redirect_uri=https%3A%2F%2Fmy.dfb.de%2F.auth%2Flogin%2Faad%2Fcallback&client_id=9d03bbc9-b2f1-4b38-82ed-0cbc6a5a2e4d&scope=openid+profile+email&response_mode=form_post&nonce=c40b4a5e03664477b8e7d6b040877f2d_20210626205142&state=redir%3D%252F, None, Sign in to your account
